"Primary Street","Dir","Cross Street","Type","Dist","Count Date","Day","W/B","E/B","N/B","S/B","Total"
"CALIFA ST","AT","LAUREL CANYON BL","MAN","EV","June 16, 2015","TUE","202","193","0","0","395"
"REDONDO BEACH BL","AT","ORCHARD AV","MAN","SR","June 16, 2015","TUE","17,693","17,432","0","0","35,125"
"WORLD WAY WEST BRIDGE","AT","PERSHING DR","AUTO","WR","August 14, 2016","SUN","2,115","849","0","0","2,964"
"SHERBOURNE  DR","AT","SAWYER ST","AUTO","HW","July 30, 2014","WED","0","0","716","872","1,588"
"SYCAMORE AV","S/O","LEXINGTON AV","AUTO","HW","November 10, 2015","TUE","0","0","982","556","1,538"
"SLAUSON AV","AT","5th AV","MAN","SR","December 01, 2015","TUE","13,186","14,577","0","0","27,763"
"HOOVER ST","S/O","84th ST","AUTO","SR","May 19, 2016","THU","0","0","8,124","7,875","15,999"
"MASON AV","AT","CALTIC ST","MAN","WV","June 15, 2016","WED","0","0","12,046","11,611","23,657"
"ADAMS BL ","AT","FIGUEROA ST","AUTO","CR","July 07, 2014","MON","13,582","9,913","0","0","23,495"
"MOTOR AV ","S/O","BANNOCKBURN DR","AUTO","WR","August 21, 2015","FRI","0","0","6,694","5,727","12,421"
"FOOTHILL BL ","AT","POLK ST","AUTO","EV","August 27, 2015","THU","0","0","9,955","9,283","19,238"
"ALAMEDA ST","AT","ARCADIA ST / 101 FWY N/B OFF RAMP","MAN","CR","June 10, 2014","TUE","0","0","17,576","13,134","30,710"
"BANNING BL","S/O","L ST","AUTO","SR","July 28, 2015","TUE","0","0","787","641","1,428"
"MANCHESTER AV","AT","WADSWORTH AV","AUTO","CR","February 25, 2015","WED","18,539","19,469","0","0","38,008"
"DE SOTO AV","AT","RINALDI ST","AUTO","WV","March 16, 2015","MON","0","0","23,149","22,751","45,900"
"RUSSELL AV","E/O","TALMADGE ST","AUTO","HW","December 09, 2015","WED","634","734","0","0","1,368"
"4th ST","AT","GRAMERCY PL","MAN","HW","June 17, 2015","WED","1,567","1,711","0","0","3,278"
"TALMADGE ST","AT","RUSSELL AV","AUTO","HW","August 04, 2014","MON","0","0","2,793","2,143","4,936"
"PALMETTO ST","E/O","MATEO ST","AUTO","CR","November 10, 2015","TUE","262","245","0","0","507"
"SAWYER ST","AT","SHERBOURNE DR","AUTO","HW","July 30, 2014","WED","1,601","1,546","0","0","3,147"
"PACIFIC COAST HWY","AT","SUNSET BL","MAN","WR","April 22, 2015","WED","28,849","33,518","0","0","62,367"
"PACIFIC AV","AT","36th ST / STEVEN M WHITE","AUTO","SR","March 03, 2015","TUE","0","0","2,602","3,407","6,009"
"VERNON AV","AT","FIGUEROA ST","MAN","CR","June 11, 2015","THU","11,313","11,578","0","0","22,891"
"WORLD AWY WEST W/B RAMP","TO","PERSHING DR","AUTO","WR","August 24, 2014","SUN","933","0","0","0","933"
"BALBOA BL","AT","NAPA ST","MAN","WV","December 09, 2015","WED","0","0","19,204","18,922","38,126"
"PENNSYLVANIA AV / IOWA AV","AT","CENTINELA AV","MAN","WR","June 07, 2016","TUE","588","717","0","0","1,305"
"HOLLYWOOD BL","AT","HOBART BL","MAN","HW","December 02, 2015","WED","13,245","11,792","0","0","25,037"
"MOZART ST","AT","AVE 17","MAN","CR","November 05, 2015","THU","214","85","0","0","299"
"HIGHLAND AV","N/O","WILSHIRE BL","AUTO","HW","November 19, 2015","THU","0","0","17,660","19,449","37,109"
"SEPULVEDA BL","AT","MANCHESTER AV","MAN","WR","April 30, 2015","THU","0","0","24,031","26,506","50,537"
"DE SOTO AV","AT","LEMARSH ST","AUTO","WV","March 17, 2015","TUE","0","0","20,590","21,052","41,642"
"SANTA FE AV","AT","3rd ST","MAN","CR","January 21, 2016","THU","0","0","7,412","6,512","13,924"
"VENICE BL","AT","GRAND VIEW BL","MAN","WR","May 12, 2016","THU","23,310","22,001","0","0","45,311"
"102nd ST","AT","BROADWAY","MAN","SR","June 11, 2015","THU","402","219","0","0","621"
"VALLEY CIRCLE BL","AT","VANOWEN ST","AUTO","WV","September 10, 2014","WED","0","0","10,207","10,171","20,378"
"CYPRESS AV","AT","MACON ST","MAN","CR","July 02, 2015","THU","7,915","6,493","0","0","14,408"
"WILMINGTON AV","AT","112th ST","MAN","SR","April 29, 2015","WED","0","0","8,838","7,499","16,337"
"GUTHRIE AV","E/O","PREUSS RD","AUTO","HW","November 10, 2015","TUE","618","1,265","0","0","1,883"
"ROSEWOOD AV","W/O","BERENDO ST","AUTO","HW","December 15, 2015","TUE","2,778","2,546","0","0","5,324"
"6th ST","AT","SWEETZER AV","AUTO","WR","October 05, 2015","MON","5,209","5,173","0","0","10,382"
"GARNET ST","W/O","SPENCE ST","AUTO","CR","November 17, 2015","TUE","363","545","0","0","908"
"JENNY AV PARKING LOT DRIVEWAY","S/O","WESTCHESTER PRKWY","AUTO","WR","November 07, 2014","FRI","3,451","2,406","0","0","5,857"
"WESTERN AV","AT","66th ST","MAN","SR","November 15, 2015","SUN","0","0","9,555","9,886","19,441"
"1st ST","AT","EVERGREEN AV","AUTO","CR","May 26, 2016","THU","7,265","7,009","0","0","14,274"
"HANNA AV","AT","DEVONSHIRE ST  ","MAN","WV","June 08, 2016","WED","0","0","759","0","759"
"COLISEUM ST","AT","OLMSTED AV","MAN","HW","June 11, 2015","THU","2,392","2,996","0","0","5,388"
"SUNSET BL","AT","BENTON WY","AUTO","HW","February 11, 2015","WED","18,597","17,391","0","0","35,988"
"AMELIA AV","AT","CAP[ITOL DR","MAN","SR","November 04, 2015","WED","0","0","96","2,131","2,227"
"WESTERN AV","AT","35th PL","AUTO","SR","June 25, 2015","THU","0","0","17,276","15,799","33,075"
"VERMONT AV","S/O","37th PL","AUTO","SR","November 12, 2015","THU","0","0","16,606","14,646","31,252"
"VERMONT AV","S/O","37th PL","AUTO","SR","November 12, 2015","THU","0","0","16,606","14,646","31,252"
"DE SOTO AV","AT","CHATSWORTH ST","AUTO","WV","March 16, 2015","MON","0","0","20,379","24,169","44,548"
"TAMPA AV","AT","PLUMMER ST","AUTO","WV","April 02, 2015","THU","0","0","17,440","24,943","42,383"
"5th AV","N/O","30th ST","AUTO","HW","August 19, 2015","WED","0","0","262","292","554"
"DOLORES ST","W/O","EUBANK AV","AUTO","SR","October 20, 2015","TUE","144","84","0","0","228"
"GARLAND AV    ","AT","JAMES M WOOD BL","AUTO","CR","July 06, 2015","MON","0","0","1,231","1,569","2,800"
"CORONADO TERRACE","S/O","BELLEVUE AV    ","AUTO","HW","July 28, 2015","TUE","0","0","37","35","72"
"COLORADO BL","AT","ARGUS DR","MAN","CR","June 07, 2016","TUE","14,612","14,542","0","0","29,154"
"PARTHENIA ST","AT","WINNETKA AV","AUTO","WV","December 14, 2015","MON","13,033","10,940","0","0","23,973"
"ADAMS BL ","AT","ARLINGTON AV","AUTO","CR","July 08, 2014","TUE","9,106","11,085","0","0","20,191"
"TUJUNGA CANYON BL","AT","HAINES CANYON RD","AUTO","EV","October 25, 2016","TUE","6,834","4,394","0","0","11,228"
"90th ST","W/O","AVALON BL","AUTO","CR","November 12, 2015","THU","375","351","0","0","726"
"VERMONT AV","AT","28th ST","MAN","SR","June 17, 2016","FRI","0","0","39,872","36,987","76,859"
"DUNSMUIR AV","AT","8th ST","MAN","HW","June 16, 2015","TUE","0","0","435","679","1,114"
"10th ST","E/O","WINDSOR BL","AUTO","HW","November 10, 2015","TUE","111","56","0","0","167"
"TRINITY ST","AND","ADAMS BL","MAN","CR","June 11, 2015","THU","0","0","1,236","759","1,995"
"OLYMPIC BL","AT","MASSELIN AV","MAN","HW","December 02, 2015","WED","21,317","19,799","0","0","41,116"
"ALVIRA ST","S/O","CASHIO ST","AUTO","HW","August 13, 2015","THU","0","0","728","529","1,257"
"MAIN ST","AT","95th ST","AUTO","SR","October 22, 2014","WED","0","0","5,756","5,877","11,633"
"WASHINGTON BL E/B","W/O","LOS ANGELES ST","AUTO","CR","November 05, 2015","THU","0","13,761","0","0","13,761"
"155th ST","E/O","AINSWORTH ST","AUTO","SR","June 02, 2016","THU","189","201","0","0","390"
"3rd ST","E/O","FICKETT ST","AUTO","CR","November 17, 2015","TUE","172","179","0","0","351"
"WESMONT DR / DELASONDE DR","AT","WESTERN AV","MAN","WR","June 02, 2014","MON","4,886","2,129","0","0","7,015"
"9th ST","AT","CRENSHAW BL","MAN","HW","June 14, 2016","TUE","884","28","0","0","912"
"SANTA FE AV","S/O","WILLOW ST","AUTO","CR","November 10, 2015","TUE","0","0","6,157","3,663","9,820"
"FALLBROOK AV","AT","SHERMAN WAY","AUTO","WV","August 01, 2016","MON","0","0","13,791","12,463","26,254"
"VENTURA BL","E/O ","VALLEY CIRCLE BL","AUTO","WV","June 08, 2015","MON","4,359","3,474","0","0","7,833"
"RINALDI ST","AT","BLUCHER AV","MAN","WV","June 08, 2016","WED","11,832","12,020","0","0","23,852"
"OLYMPIC BL","AT","LORENA ST","AUTO","CR","March 01, 2016","TUE","10,745","8,471","0","0","19,216"
"ST GEORGE ST","AT","MONON ST","AUTO","HW","October 14, 2015","WED","0","0","5,354","5,227","10,581"
"AVENUE 52","AT","GLEN ELLEN PL","MAN","CR","June 16, 2015","TUE","0","0","5,877","7,003","12,880"
"VICTORY BL","AT","SHOUP AV","MAN","WV","June 08, 2016","WED","11,449","13,061","0","0","24,510"
"WASHINGTON BL ","AT","BURNSIDE AV","MAN","HW","December 02, 2015","WED","16,333","11,447","0","0","27,780"
"MAIN ST","AT","52nd ST","AUTO","CR","October 05, 2016","WED","0","0","10,339","9,644","19,983"
"BURBANK BL","AT","BECK AV","MAN","EV","November 10, 2015","TUE","12,810","17,886","0","0","30,696"
"SUNSET BL","AT","BEAUDRY AV","MAN","CR","July 15, 2014","TUE","13,141","17,510","0","0","30,651"
"RESEDA BL","AT","HATTERAS ST","AUTO","WV","October 23, 2014","THU","0","0","17,405","17,395","34,800"
"FOUNTAIN AV","W/O","GORDON ST","AUTO","HW","August 18, 2015","TUE","5,621","5,768","0","0","11,389"
"CRESCENT AV","AT","19th ST","MAN","SR","June 10, 2015","WED","0","0","454","1,398","1,852"
"LA BREA AV","N/O","OLYMPIC BL   ","AUTO","HW","November 21, 2015","SAT","17,477","0","0","0","17,477"
"MAIN ST","AT","68th ST","AUTO","CR","October 27, 2014","MON","0","0","7,505","7,428","14,933"
"ALSACE AV","N/O","BANGOR ST","AUTO","HW","November 10, 2015","TUE","0","0","93","89","182"
"JEFFESON BL","AT","3rD ST","MAN","HW","December 01, 2015","TUE","13,769","11,668","0","0","25,437"
"CODY RD / RAYNETA DR","AT","RAYNETA DR","MAN","EV","February 24, 2016","WED","0","0","580","536","1,116"
"FOREST LAWN DR","E/O","N COYOTE CANYON DR","AUTO","HW","May 19, 2016","THU","7,520","11,349","0","0","18,869"
"RESEDA BL","AT","VICTORY BL","MAN","WV","May 20, 2015","WED","0","0","12,455","14,109","26,564"
"NOBLE AV","AT","VALLEY VISTA BL","MAN","EV","June 07, 2016","TUE","0","0","183","2","185"
"17th ST","AT","RIMPAU BL","MAN","HW","June 16, 2015","TUE","2,524","2,056","0","0","4,580"
"AVENUE 50","AT","LINCOLN AV","MAN","CR","June 16, 2015","TUE","0","0","2,620","2,604","5,224"
"RUSSELL AV","W/O","TALMADGE ST","AUTO","HW","December 09, 2015","WED","302","346","0","0","648"
"90th ST","E/O","AVALON BL","AUTO","CR","November 12, 2015","THU","430","220","0","0","650"
"MULHOLLAND DR  ","E/O","NICADA DR","AUTO","EV","May 24, 2016","TUE","5,747","5,357","0","0","11,104"
"SHOUP AV","AT","SHERMAN WAY","MAN","WV","November 20, 2014","THU","0","0","13,440","9,976","23,416"
"9th ST / JAMES M WOOD BL","AT","DETROIT ST","AUTO","HW","October 22, 2015","THU","915","939","0","0","1,854"
"MANCHESTER AV","AT","GULANA AV","MAN","WR","November 12, 2015","THU","4,780","8,782","0","0","13,562"
"COZYCROFT AV","AT","SHERMAN WAY","MAN","WV","June 16, 2015","TUE","0","0","524","421","945"
"54th ST","AT","RUTHELEN ST","MAN","SR","June 11, 2015","THU","4,933","4,895","0","0","9,828"
"SORRENTO LN","AT","MASON AV","MAN","WV","October 14, 2015","WED","1,018","783","0","0","1,801"
"25th ST","AT","MEYLER ST","AUTO","SR","February 25, 2015","WED","7,198","6,704","0","0","13,902"
"DE LONGPRE AV","W/O","EL CENTRO AV","AUTO","HW","August 18, 2015","TUE","948","1,553","0","0","2,501"
"CORBIN AV","AT","PLUMMER ST","MAN","WV","July 08, 2015","WED","0","0","15,806","17,618","33,424"
"PIONEER AV","AT","ANAHEIM BL (BOTH)","MAN","SR","November 04, 2015","WED","0","0","322","348","670"
"FAIRFAX AV","AT","PICKFORD ST","MAN","HW","December 01, 2015","TUE","0","0","11,395","11,374","22,769"
"EL CENTRO AV","N/O","LA MIRADA AV","AUTO","HW","November 05, 2015","THU","0","0","1,842","1,686","3,528"
"VALLEY CIRCLE BL","N/O","BURBANK BL","AUTO","WV","September 10, 2014","WED","0","0","11,778","10,572","22,350"
"SUNSET BL","S/O","EVERETT ST","AUTO","CR","November 10, 2015","TUE","0","0","18,575","19,289","37,864"
"ALTURA ST","AT","GRIFFIN AV","MAN","CR","April 22, 2016","FRI","1,173","249","0","0","1,422"
"FIGUEROA ST","AT","117th ST","AUTO","SR","May 05, 2015","TUE","0","0","7,793","8,389","16,182"
"GLENDALE BL","BTWN","BELLEVUE AV & SANTA INEZ ST","AUTO","HW","June 02, 2015","TUE","0","0","15,811","19,320","35,131"
"25th ST","E/O","5tH AV","AUTO","HW","November 12, 2015","THU","1,056","931","0","0","1,176"
"AVE 53","AT","YORK BL","MAN","CR","November 05, 2015","THU","0","0","1,025","484","1,509"
"GLENOAKS BL","AT","OSBORNE PL","MAN","EV","March 04, 2015","WED","0","0","14,680","15,855","30,535"
"GLENOAKS BL","AT","OSBORNE PL","MAN","EV","March 04, 2015","WED","0","0","14,680","15,855","30,535"
"VALERIO ST","AT","DE SOTO AV","MAN","WV","June 16, 2015","TUE","672","928","0","0","1,600"
"223rd ST","AT","NORMANDIE AV","MAN","SR","December 08, 2015","TUE","12,580","12,251","0","0","24,831"
"1st ST","AT","GAFFEY ST","MAN","SR","June 14, 2016","TUE","3,892","11,802","0","0","15,694"
"FLORENCE AV","AT","HOOVER ST","MAN","SR","June 11, 2015","THU","17,277","18,025","0","0","35,302"
"LASSEN ST","AT","DE SOTO AV","AUTO","WV","April 18, 2016","MON","9,455","10,627","0","0","20,082"
"BURNSIDE AV","N/O","EDGEWOOD PL","AUTO","HW","August 18, 2015","TUE","0","0","164","192","356"
"VERMONT AV","AT","28th ST","MAN","SR","June 20, 2016","MON","0","0","4,474","3,034","7,508"
"WEST BL","AT","HYDE PARK BL","AUTO","SR","February 03, 2015","TUE","0","0","8,161","8,217","16,378"
"BROADWAY","AT","41st ST","MAN","CR","June 11, 2015","THU","0","0","15,851","11,835","27,686"
"MAIN ST","AT","JEFFERSON BL","AUTO","CR","October 15, 2014","WED","0","0","11,385","9,586","20,971"
"BANGOR ST","W/O","ALSACE AV","AUTO","HW","November 10, 2015","TUE","665","611","0","0","1,276"
"BERKELEY HALL SCHOOL DRIVEWAY","AT","MULHOLLAND DR","MAN","WV","March 10, 2016","THU","0","0","595","0","595"
"JEFFERSON BL","AT","SOMERSET DR","AUTO","HW","October 22, 2015","THU","12,225","10,309","0","0","22,534"
"HUMBOLDT ST","AT","AVE 26","MAN","CR","December 10, 2014","WED","0","0","1,849","1,271","3,120"
"CRESCENT AV","AT","17th ST","MAN","SR","June 10, 2015","WED","259","905","0","0","1,164"
"170th ST","AT","FIGUEROA ST","MAN","SR","June 11, 2014","WED","0","110","0","0","110"
"AVE 26","AT","HUMBOLDT ST","AUTO","CR","December 10, 2014","WED","9,382","10,102","0","0","19,484"
"LANKERSHIM BL ","AT","DWY @ 5200 LANKERSHIM BL","MAN","EV","March 03, 2015","TUE","0","0","12,984","17,750","30,734"
"VIRGINIA AV","E/O","VAN NESS AV","AUTO","HW","May 19, 2016","THU","807","595","0","0","1,402"
"WEST BL","AT","60th ST","AUTO","SR","February 02, 2015","MON","0","0","7,239","6,757","13,996"
"FIGUEROA ST","AT","PACIFIC COAST HWY","MAN","SR","April 08, 2015","WED","0","0","8,394","2,371","10,765"
"LEMON ST","N/O","OLYMPIC BL   ","AUTO","CR","November 17, 2015","TUE","0","0","427","1,195","1,622"
"THURMAN AV","AT","VENICE BL","MAN","HW","June 14, 2016","TUE","0","0","2,284","2,507","4,791"
"LEDGE AV","S/O","SARAH ST","AUTO","EV","August 25, 2015","TUE","0","0","855","1,126","1,981"
"PERSHING DR N/B RAMP","TO","WORLD WAY WEST","AUTO","WR","August 29, 2014","FRI","4,068","0","0","0","4,068"
"PICO BL","AT","FAIRFAX AV","AUTO","HW","January 05, 2015","MON","12,248","13,738","0","0","25,986"
"BEVERLY BL     ","W/O","ST ANDREWS PL","AUTO","HW","December 09, 2015","WED","17,955","17,728","0","0","35,683"
"CLINTON ST","E/O","IRVING BL","AUTO","HW","August 18, 2015","TUE","1,028","1,081","0","0","2,109"
"VENTURA BL","AT","TOPANGA CANYON BL","MAN","WV","April 09, 2015","THU","14,093","21,383","0","0","35,476"
"BURBANK BL","AT","WOODLAKE AV","MAN","WV","April 29, 2015","WED","4,606","4,843","0","0","9,449"
"PALMS BL","AT","JASMINE AV","MAN","WR","November 10, 2015","TUE","13,327","16,180","0","0","29,507"
"SHOUP AV","AT","SCHOOLCRAFT ST","MAN","WV","June 08, 2016","WED","0","0","11,936","11,555","23,491"
"BUDLONG AV","S/O","65th PL","AUTO","SR","November 12, 2015","THU","0","0","761","838","1,599"
"OSBORNE ST","AT","GLENOAKS BL","AUTO","EV","January 20, 2016","WED","10,458","8,922","0","0","19,380"
"RESEDA BL","AT","VICTORY BL","AUTO","WV","October 29, 2014","WED","0","0","14,752","17,274","32,026"
"CRENSHAW BL","N/O","28th ST","AUTO","HW","May 24, 2016","TUE","0","0","21,428","20,118","41,546"
"ASCOT AV","S/O","56th ST","AUTO","CR","November 12, 2015","THU","0","0","224","192","416"
"OGDEN DR","N/O","SELMA AV","AUTO","HW","November 04, 2015","WED","0","0","412","468","880"
"PICO BL","AT","UNION AV","AUTO","CR","November 24, 2014","MON","13,592","10,579","0","0","24,171"
"ST ANDREWS PL","S/O","VENICE BL","AUTO","HW","July 23, 2015","THU","0","0","980","949","1,929"
"7th AV","N/O","76th ST","AUTO","SR","May 19, 2016","THU","0","0","293","404","697"
"VANOWEN ST","AT","CLYBOURN AV (WEST JOG)","AUTO","EV","September 08, 2014","MON","12,666","12,307","0","0","24,973"
"CHICKASAW AV","E/O","TOWNSEND AV","AUTO","CR","November 19, 2015","THU","156","107","0","0","263"
"ZELZAH AV","AT","HALSTED ST","MAN","WV","December 09, 2015","WED","0","0","10,469","12,295","22,764"
"ANAHEIM ST","E/O","FLINT ST","AUTO","SR","June 09, 2016","THU","13,650","13,688","0","0","27,338"
"VALLEY CIRCLE BL","AT","MARIANO ST","MAN","WV","January 28, 2016","THU","0","0","14,375","17,291","31,666"
"INGLEWOOD BL","S/O","BEATRICE ST","AUTO","WR","November 17, 2015","TUE","0","0","8,019","9,213","17,232"
"WOODMAN AV","AT","VENTURA BL","MAN","EV","May 19, 2015","TUE","0","0","4,070","10,594","14,664"
"SAN MARCOS PL ","AT","AVENUE 50","MAN","CR","October 02, 2014","THU","0","197","0","0","197"
"FIGUEROA ST","AT","164th ST","AUTO","SR","March 18, 2015","WED","0","0","7,713","8,028","15,741"
"FIGUEROA ST","AT","ROSECRANS AV","AUTO","SR","March 05, 2015","THU","0","0","9,060","8,199","17,259"
"97th ST","W/O","CROESUS AV","AUTO","SR","November 12, 2015","THU","2,128","2,058","0","0","4,186"
"WESTWOOD BL","AT","SANTA MONICA BL","MAN","WR","April 09, 2015","THU","0","0","13,604","15,200","28,804"
"SAMOA AV","AT","VALMONT ST","AUTO","EV","July 23, 2015","THU","0","0","389","419","808"
"BURBANK BL","AT","WHITE OAK AV","MAN","WV","June 07, 2016","TUE","14,347","13,395","0","0","27,742"
"WADSWORTH AV","S/O","105th ST","AUTO","SR","August 13, 2015","THU","0","0","124","125","249"
"73rd ST","W/O","7th AV","AUTO","SR","November 12, 2015","THU","419","183","0","0","602"
"WHITE OAK AV","S/O","ROSCOE BL","AUTO","WV","July 28, 2016","THU","0","0","6,414","5,601","12,015"
"RINALDI ST","AT","ANDASOL AV","MAN","WV","April 29, 2015","WED","12,248","13,205","0","0","25,453"
"18th ST","AT","LOS ANGELES ST","MAN","CR","November 10, 2015","TUE","0","11,635","0","0","11,635"
"NORMANDIE AV","AT","69th ST","MAN","SR","June 11, 2015","THU","0","0","12,610","9,475","22,085"
"FICKETT ST","S/O","3rd ST","AUTO","CR","November 17, 2015","TUE","0","0","534","574","1,108"
"FRIES AV","N/O","Q ST","AUTO","SR","July 28, 2015","TUE","0","0","437","298","735"
"GLENHURST AV","AT","GRACIA ST","AUTO","HW","June 09, 2014","MON","682","736","0","0","1,418"
"INGLEWOOD BL","AT","BEATRICE ST","MAN","WR","November 10, 2015","TUE","0","0","10,089","9,259","19,348"
"FIGUEROA ST","AT","AVE 45","AUTO","CR","July 15, 2014","TUE","0","0","11,820","9,787","21,607"
"NORMANDIE AV","AT","MELROSE AV","AUTO","HW","September 15, 2014","MON","0","0","6,470","8,295","14,765"
"WESTWOOD BL","AT","MISSOURI AV","AUTO","WR","July 09, 2014","WED","0","0","15,166","16,931","32,097"
"WESTWOOD BL","AT","MISSOURI AV","AUTO","WR","July 09, 2014","WED","0","0","15,166","16,931","32,097"
"WHITSETT AV","AT","VOSE ST","AUTO","EV","May 19, 2015","TUE","0","0","8,381","8,806","17,187"
"4th ST","AT","LORRAINE BL","AUTO","HW","March 31, 2016","THU","984","794","0","0","1,778"
"PICO BL","AT","WEST BL","AUTO","HW","January 06, 2015","TUE","13,102","15,233","0","0","28,335"
"FIGUEROA ST","AT","120th ST","AUTO","SR","May 05, 2015","TUE","0","0","8,057","7,238","15,295"
"WILMINGTON BL","AT","DOLORES ST","MAN","SR","June 07, 2016","TUE","0","0","7,384","7,781","15,165"
"ERWIN ST","AT","COLDWATER CANYON AV","MAN","EV","April 29, 2015","WED","848","38","0","0","886"
"3rd AV","AT","SLAUSON AV","AUTO","SR","May 29, 2014","THU","0","0","737","644","1,381"
"NORMANDIE AV","N/O","62nd ST","AUTO","SR","August 13, 2015","THU","0","0","12,722","13,597","26,319"
"WASHINGTON BL ","W/O","FIGUEROA ST","AUTO","CR","February 03, 2015","TUE","13,958","11,725","0","0","25,683"
"SANFORD AV","AT","ANAHEIM BL EAST","MAN","SR","November 05, 2015","THU","0","0","0","848","848"
"BANDINI ST","S/O","ELBERON AV","AUTO","SR","November 05, 2015","THU","0","0","947","913","1,860"
"MAIN ST","AT","92nd ST","AUTO","SR","October 22, 2014","WED","0","0","6,805","5,762","12,567"
"FIGUEROA ST","AT","AVE 55   (SOUTH JOG)","AUTO","CR","February 03, 2016","WED","0","0","10,811","12,041","22,852"
"WESTERN AV","AT","88th ST","MAN","WR","November 15, 2015","SUN","0","0","7,962","7,764","15,726"
"BUCHANAN ST","W/O","AVENUE 54","AUTO","CR","August 25, 2015","TUE","333","302","0","0","635"
"COUNCIL ST","W/O","WELCOME ST","AUTO","HW","July 28, 2015","TUE","230","211","0","0","441"
"COLISEUM ST","AT","WESTSIDE AV","MAN","HW","June 11, 2015","THU","2,498","3,074","0","0","5,572"
"LUCILE AV","AT","MARATHON ST","MAN","HW","November 12, 2015","THU","0","0","3,050","1,466","4,516"
"LA BREA AV","N/O","OLYMPIC BL   ","AUTO","HW","November 19, 2015","THU","21,337","0","0","0","21,337"
"LA BREA AV","AT","MELROSE AV","AUTO","WR","April 11, 2016","MON","0","0","20,030","19,401","39,431"
"WEST BL","AT","ST ELMO DR","AUTO","HW","November 17, 2015","TUE","0","0","7,243","8,031","15,274"
"28th ST","AT","VERMONT AV","MAN","SR","June 19, 2016","SUN","402","1,008","0","0","1,410"
"ROSCOE BL","AT","CANTERBURY AV","AUTO","EV","September 21, 2016","WED","29,307","24,883","0","0","54,190"
"FIGUEROA ST","AT","YORK BL","MAN","CR","September 22, 2015","TUE","0","0","9,644","14,530","24,174"
"22nd ST","AT","SAN PEDRO ST","AUTO","CR","February 08, 2016","MON","811","789","0","0","1,600"
"HAVENHURST AV","N/O","BOSQUE DR","AUTO","WV","November 04, 2015","WED","0","0","4,081","9,320","8,001"
"MAIN ST","AT","47th ST","MAN","CR","December 01, 2015","TUE","0","0","11,367","10,020","21,387"
"WILSHIRE BL","E/O","FAIRFAX AV","AUTO","HW","November 20, 2015","FRI","15,051","15,099","0","0","30,150"
"FIGUEROA ST","AT","2nd ST    ","AUTO","CR","July 28, 2014","MON","0","0","15,594","9,720","25,314"
"LA CIENEGA BL","AT","VENICE BL","MAN","WR","April 16, 2015","THU","0","0","20,224","20,226","40,450"
"NORMANDIE AV","AT","57th ST   (NORTH LEG)","MAN","SR","June 14, 2016","TUE","0","0","14,617","12,951","27,568"
"FLETCHER DR","AT","CRYSTAL ST / RIPPLE ST","MAN","HW","June 08, 2016","WED","21,726","18,107","0","0","39,833"
"ALAMEDA ST","AT","48th PL","MAN","CR","November 05, 2015","THU","0","0","10,270","10,338","20,608"
"GAMBIER ST","AT","EASTERN AV","AUTO","CR","September 24, 2015","THU","2,571","2,757","0","0","5,328"
"VALLEY CIRCLE BL","AT","VALERIE AV","AUTO","WV","September 10, 2014","WED","0","0","11,210","10,545","21,755"
"FAIRFAX AV","AT","3rd ST","AUTO","WR","January 16, 2015","FRI","0","0","17,010","22,968","39,978"
"BARRINGTON AV","AT","IOWA AV","AUTO","WR","June 14, 2016","TUE","0","0","9,241","9,114","18,355"
"FIGUEROA ST","S/O","COLORADO BL","AUTO","CR","July 22, 2014","TUE","0","0","11,181","12,275","23,456"
"OLYMPIC BL","AT","LONGWOOD AV","AUTO","WR","January 12, 2015","MON","20,822","17,597","0","0","38,419"
"87th PL","W/O","CENTRAL AV","AUTO","CR","November 12, 2015","THU","421","345","0","0","766"
"WOODMAN AV","AT","VICTORY BL","MAN","EV","May 19, 2015","TUE","0","0","13,332","15,761","29,093"
"WASHINGTON BL ","AT","NORMANDIE AV","AUTO","CR","February 09, 2015","MON","12,346","11,117","0","0","23,463"
"QUAY AV","AT","ANAHEIM ST","MAN","SR","July 06, 2016","WED","0","0","562","94","656"
"OLIVE ST","N/O","7th ST","AUTO","CR","November 10, 2015","TUE","0","0","11,977","0","11,977"
"33rd ST","AT","CENTRAL AV","MAN","CR","June 11, 2015","THU","588","388","0","0","976"
"VICTORY BL","AT","WOODMAN AV","MAN","WEV","May 20, 2015","WED","21,973","22,273","0","0","44,246"
"UNION AV","N/O","MIRAMAR ST","AUTO","HW","July 28, 2015","TUE","0","0","2,289","1,853","4,142"
"ZELZAH AV","AT","PLUMMER ST","AUTO","WV","August 04, 2016","THU","0","0","7,885","7,684","15,569"
"ISLAND AV","S/O","ANAHEIM ST","AUTO","SR","May 26, 2016","THU","0","0","645","968","1,613"
"46th ST","E/O","10th AV","AUTO","SR","August 13, 2015","THU","210","151","0","0","361"
"VISTA DEL MAR AV","AT","WATERVIEW ST","AUTO","WR","September 13, 2016","TUE","0","0","8,785","8,892","17,677"
"OLYMPIC BL","W/O","WILSON ST","AUTO","CR","November 12, 2015","THU","15,878","15,969","0","0","31,847"
"RESEDA BL","AT","ST MORITZ DR","MAN","WV","April 29, 2015","WED","0","0","2,023","2,808","4,831"
"ELYSIAN PARK DR","AT","STADIUM WAY","MAN","CR","June 16, 2015","TUE","263","237","0","0","500"
"1st ST","AT","HILL ST","MAN","CR","February 03, 2016","WED","15,764","14,114","0","0","29,878"
